Date,Open,High,Low,Close,Adj Close,Volume
01-07-2019,78.316002,78.348,77.796997,78.316002,78.316002,0
02-07-2019,77.670998,78.052002,77.609001,77.670998,77.670998,0
03-07-2019,77.699997,77.821999,77.514,77.707001,77.707001,0
04-07-2019,77.573997,77.664001,77.195,77.564003,77.564003,0
05-07-2019,77.255997,77.467003,76.694,77.255997,77.255997,0
08-07-2019,76.754997,77.147003,76.732002,76.754997,76.754997,0
09-07-2019,76.820999,77.126999,76.668999,76.820999,76.820999,0
10-07-2019,76.744003,77.051003,76.694,76.744003,76.744003,0
11-07-2019,76.949997,77.110001,76.888,76.949997,76.949997,0
12-07-2019,76.922997,77.241997,76.922997,76.933998,76.933998,0
15-07-2019,77.191002,77.290001,77.069,77.191002,77.191002,0
16-07-2019,77.099998,77.188004,76.926003,77.106003,77.106003,0
17-07-2019,76.932999,77.318001,76.842003,76.932999,76.932999,0
18-07-2019,77.209999,77.411003,77.144997,77.217003,77.217003,0
19-07-2019,77.454002,77.509003,77.142998,77.454002,77.454002,0
22-07-2019,77.195,77.380997,77.183998,77.195,77.195,0
23-07-2019,77.155998,77.210999,76.832001,77.160004,77.160004,0
24-07-2019,76.891998,76.945999,76.741997,76.894997,76.894997,0
25-07-2019,76.790001,77.157997,76.446999,76.790001,76.790001,0
26-07-2019,76.996002,77.033997,76.522003,77.002998,77.002998,0
29-07-2019,76.563004,76.584999,76.329002,76.563004,76.563004,0
30-07-2019,76.523003,76.741997,76.434998,76.529999,76.529999,0
31-07-2019,76.726997,76.841003,76.513,76.734001,76.734001,0
01-08-2019,76.175003,76.425003,75.917,76.175003,76.175003,0
02-08-2019,76.390999,77.406998,76.329002,76.385002,76.385002,0
05-08-2019,77.343002,79.265999,77.343002,77.343002,77.343002,0
06-08-2019,79.526001,79.586998,78.841003,79.551003,79.551003,0
07-08-2019,79.527,79.961998,79.007004,79.516998,79.516998,0
08-08-2019,79.667999,79.728996,78.999001,79.667999,79.667999,0
09-08-2019,78.778999,79.630997,78.757004,78.775002,78.775002,0
